,page_url,artist,artist_nationality,artist_birthdate,title,image_url,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
422,https://www.artsy.net/artwork/latlas-grey-time-1,L'ATLAS,French,1978,Grey time,https://d32dm0rphc51dk.cloudfront.net/5M4w9EUlJdXlrXvqkbldHg/large.jpg,2015,Galerie Perahia,Paris,Painting,Acrylic on canvas,57 9/10 × 56 3/10 × 1 1/5 in,147 × 143 × 3 cm,NA,This is a unique work.,Hand-signed by artist,Included,Included,€,"14,900"
423,https://www.artsy.net/artwork/paul-resika-stream-near-amity-ny,Paul Resika,American,1928,Stream Near Amity (N.Y.),https://d32dm0rphc51dk.cloudfront.net/ZV1eaOwTBtZBIDNtflBLUg/large.jpg,1967,Bookstein Projects,New York,Painting,Oil on canvas,21 × 25 in,53.3 × 63.5 cm,NA,This is a unique work.,"Hand-signed by artist, Signed ""Resika"" lower left",NA,Not included,$,"35,000"
424,https://www.artsy.net/artwork/peter-zimmermann-untitled-109,Peter Zimmermann,German,1956,Untitled,https://d32dm0rphc51dk.cloudfront.net/NoYmCJNvSLL8N_PQj0oSdg/large.jpg,2018,NUNU FINE ART,Taipei City,Painting,Epoxy on canvas,31 1/2 × 23 3/5 in,80 × 60 cm,Perfect ,This is a unique work.,"Hand-signed by artist, Back",Included,Not included,$,"22,000"
425,https://www.artsy.net/artwork/joan-miro-couple-doiseaux-ii,Joan Miró,"Spanish, 1893–1983",NA,Couple D'Oiseaux II,https://d32dm0rphc51dk.cloudfront.net/REp1MpFCbpORg5qOq35eVg/large.jpg,1966,Make offer,RoGallery,Print,Etching with Aquatint,34 1/2 × 47 1/2 in,87.6 × 120.7 cm,Excellent,Edition 31/50,"Hand-signed by artist, Signed and numbered in pencil.",NA,Included,NA,NA
426,https://www.artsy.net/artwork/sean-keith-popeye-the-boss-ny-times,Sean Keith,American,1982,"Popeye The Boss ""NY Times""",https://d32dm0rphc51dk.cloudfront.net/eGwDZQ9S5qBBPeocpQMzRg/large.jpg,2018,"Los Angeles, Zürich",Certificate of authenticity,Painting,"Mixed Media, Acrylic, Vintage Newspaper, Resin on Canvas",36 × 36 in,91.4 × 91.4 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"4,750"
427,https://www.artsy.net/artwork/hugues-claude-pissarro-h-claude-pissarro-original-pastel-painting-signed-italian-landscape-cityscape,Hugues Claude Pissarro,French,1935,H. Claude Pissarro Original Pastel Painting Signed Italian Landscape Cityscape,https://d32dm0rphc51dk.cloudfront.net/SnEhIoIyCarW9pu4fAry2w/large.jpg,20th Century,Original Art Broker,Certificate of authenticity,Painting,Pastels,34 × 40 in,86.4 × 101.6 cm,Excellent Condition - Like New,This is a unique work.,"Hand-signed by artist, Bottom Left (see photo)",Included,Included,$,"8,295"
428,https://www.artsy.net/artwork/lucy-mink-dirty,Lucy Mink,American,1968,Dirty,https://d32dm0rphc51dk.cloudfront.net/mcprVLcn16nkoS8oEj9Z6Q/large.jpg,2020,BigTown Gallery,Rochester,Painting,Watercolors all on 300 lb lanquarelle paper,15 × 11 1/2 in,38.1 × 29.2 cm,NA,This is a unique work.,"Hand-signed by artist, Signed verso",NA,Not included,$,500
429,https://www.artsy.net/artwork/cleve-gray-reverse-drawing-2-orange-1,Cleve Gray,"American, 1918–2004",NA,"Reverse Drawing 2 (orange),",https://d32dm0rphc51dk.cloudfront.net/m4sN1Gxs_OuNpR3w3CSXBQ/large.jpg,1966,New York,Secure payment,Painting,Mixed media on paper,19 3/4 × 25 1/2 in,50.2 × 64.8 cm,NA,This is a unique work.,Hand-signed by artist,NA,Included,$,"3,000"
430,https://www.artsy.net/artwork/robert-lebsack-a-study-in-symbols,Robert Lebsack,American,1980,A Study In Symbols,https://d32dm0rphc51dk.cloudfront.net/VaGE4jBj5bJu1Yplveepsg/large.jpg,2019,"Los Angeles, Zürich",Certificate of authenticity,Painting,Mixed Media on Wood,18 × 18 in,45.7 × 45.7 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,600
431,https://www.artsy.net/artwork/nicholas-garland-couple-dancing-i,Nicholas Garland,British,1935,Couple Dancing I,https://d32dm0rphc51dk.cloudfront.net/ruBkYtJ249UlVtscyE1M4Q/large.jpg,1985,Make offer,Washington Color,Print,Hand-pressed linocut on mould-made Vélin Arches 300gsm paper,23 × 18 × 1 1/8 in,58.4 × 45.7 × 2.9 cm,"Fine condition. A beautiful print, exceptionally-well inked, crisp edges, undamaged paper.",Edition 219/250,"Hand-signed by artist, en recto lower right. Editioned en recto lower left. Titled en recto lower center.",Included,Included,NA,NA
