,page_URL,artist,artist_nationality,artist_birthdate,title,image_URL,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
632,https://www.artsy.net/artwork/nicole-leidenfrost-oldtimer-feeling,Nicole Leidenfrost,German,1974,Oldtimer Feeling,https://d32dm0rphc51dk.cloudfront.net/TSO_Qgc17y-blXdAUhbbxQ/large.jpg,2020,Hamburger Kunstgalerie,Hamburg,Painting,Mixed Media on canvas,35 2/5 × 39 2/5 × 4/5 in,90 × 100 × 2 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,€,"4,500"
633,https://www.artsy.net/artwork/carlos-rosales-silva-border-exchange-studies-green-and-orange,Carlos Rosales-Silva,Mexican-American,1982,Border Exchange Studies (Green&Orange),https://d32dm0rphc51dk.cloudfront.net/9Ii9e6BunzVx1Wmv45zsdA/large.jpg,2020,"San Antonio, New York City",Certificate of authenticity,Painting,Sand in acrylic and flashe paint on panel,10 × 8 × 1 1/2 in,25.4 × 20.3 × 3.8 cm,Pristine Condition ,This is a unique work.,"Hand-signed by artist, Signed on the reverse",Included,Not included,$,750
634,https://www.artsy.net/artwork/edgar-hunt-farmyard-friends,Edgar Hunt,"British, 1876–1953",NA,Farmyard Friends,https://d32dm0rphc51dk.cloudfront.net/0-f2Z8tCYN6P19RI8BWz6A/large.jpg,19th Century,Make offer,Haynes Fine Art,Painting,Oil on canvas,29 3/4 × 38 in,75.6 × 96.5 cm,Good condition,This is a unique work.,"Hand-signed by artist, Signed lower right",NA,Included,£,"36,500"
635,https://www.artsy.net/artwork/erik-jones-standing-nude,Erik Jones,American,1982,Standing Nude,https://d32dm0rphc51dk.cloudfront.net/w_p9yeOkhQSy32MvxsappQ/large.jpg,2020,Hashimoto Contemporary,"San Francisco, New York",Painting,Pencil and acrylic on wood panel,30 × 24 in,76.2 × 61 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"4,100"
636,https://www.artsy.net/artwork/irit-ovadia-rosenberg-untitled-20,Irit Ovadia Rosenberg,Follow,NA,Untitled,https://d32dm0rphc51dk.cloudfront.net/MaM_XnlJNdyIRQcnnhVpYw/large.jpg,2020,The Olympia Project,Brooklyn,Sculpture,"Children's toys, found objects, watercolor, epoxy",6 × 10 1/2 × 3 in,15.2 × 26.7 × 7.6 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,900
637,https://www.artsy.net/artwork/fat-parisian-subway-map-the-pink-panther,FAT,French,1990,PARISIAN SUBWAY MAP - THE PINK PANTHER,https://d32dm0rphc51dk.cloudfront.net/BcHdgyGMiigwgdBrqcCpww/large.jpg,2020,Design By Jaler,PARIS,Painting,"Aerosol paint, acrylic, Posca - Painting on Parisian subway map",40 9/10 × 51 1/5 × 2 in,104 × 130 × 5 cm,NA,This is a unique work.,"Hand-signed by artist, Hand-signed by artist",Included,Included,€,"6,350"
638,https://www.artsy.net/artwork/kamini-avril-sleeper,Kamini Avril,American,1955,Sleeper,https://d32dm0rphc51dk.cloudfront.net/urwERbQL2N45USnB2iya0Q/large.jpg,2020,New York,Secure payment,"Drawing, Collage or other Work on Paper",Mixed media on paper,23 1/2 × 18 1/2 in,59.7 × 47 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,800
639,https://www.artsy.net/artwork/marykate-maher-surface-37,MaryKate Maher,American,1979,Surface (37),https://d32dm0rphc51dk.cloudfront.net/0DCEy4p7-2t51RWMIB-16g/large.jpg,2020,Montclair,Certificate of authenticity,"Drawing, Collage or other Work on Paper",Collage on paper,20 × 16 in,50.8 × 40.6 cm,NA,This is a unique work.,Hand-signed by artist,Included,Included,$,"1,350"
640,https://www.artsy.net/artwork/tim-conlon-blank-canvas-number-75-ont,Tim Conlon,American,1974,Blank Canvas #75 - ONT,https://d32dm0rphc51dk.cloudfront.net/Wq9cKOgR2SU8nxnpmdq8VQ/large.jpg,2019,"Sag Harbor, Montauk, Miami Beach",Secure payment,Painting,Spray enamel and acrylic on canvas,48 × 60 in,121.9 × 152.4 cm,New,This is a unique work.,"Hand-signed by artist, Signed and dated verso",NA,Not included,$,"7,000"
641,https://www.artsy.net/artwork/robert-bissell-skylight,Robert Bissell,English,1952,Skylight,https://d32dm0rphc51dk.cloudfront.net/1hV9876VOVA6aIVl50jNZg/large.jpg,2020,San Francisco,Certificate of authenticity,Painting,Oil on wood panel,9 × 12 in,22.9 × 30.5 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,800
